cell_type,n_target,n_rest,mean_target,mean_rest,log2FC,pct.1,pct.2,pct_diff,AUROC,U,p_value,p_adj_BH,enriched
Inhibitory,554,11332,1.4891696750902528,0.008912813272149664,7.384411385811568,0.5740072202166066,0.007589128132721497,0.566418092083885,0.7843725668723821,4924234.5,0.0,0.0,True
Microglia,675,11211,0.04296296296296296,0.08001070377308,-0.8970995070792865,0.02666666666666667,0.03443047007403443,-0.007763803407367761,0.4960284376786027,3753658.0,0.865604566192975,1.0,False
Astro,799,11087,0.0037546933667083854,0.08325065391900424,-4.470694239863951,0.0037546933667083854,0.03616848561378191,-0.032413792247073525,0.4837573755324398,4285371.0,0.9999995039309117,1.0,False
NF Oligo,156,11730,0.0,0.07894288150042626,-26.2343058626058,0.0,0.03444160272804774,-0.03444160272804774,0.4827791986359761,883428.0,0.9908107122383749,1.0,False
OPC,351,11535,0.0,0.08027741655830083,-26.25849087164752,0.0,0.03502384048547898,-0.03502384048547898,0.4824880797572605,1953490.5,0.9998191721541843,1.0,False
Endo,1858,10028,0.004305705059203444,0.09154367770243318,-4.410138529656273,0.004305705059203444,0.03948942959712804,-0.03518372453792459,0.48236283937805147,8987396.0,0.9999999999999934,1.0,False
Oligo,782,11104,0.0,0.08339337175792508,-26.31342940196811,0.0,0.03638328530259366,-0.03638328530259366,0.48180835734870314,4183700.0,0.9999999711657368,1.0,False
Excitatory,6711,5175,0.009089554462822232,0.1671497584541063,-4.200787729378482,0.008493518104604381,0.06705314009661836,-0.058559621992013984,0.47056281524960464,16342376.0,1.0,1.0,False
